l_id;wkt_srid_4326;24 Hous rel;24 Hours abs;100 Hours average abs;100 Hours max abs;100 Hours max average rel;cap;;;;;;;;;;;;;;;
l41;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,12.4993659669539 52.4052284251973)";0.15274534;74.84521676;42.82722616;103.8886256;0.212017603;490;;l41;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,12.4993659669539 52.4052284251973)";;;;;;;;;;l41;42.82722616;103.8886256
l42;"SRID=4326;LINESTRING(13.5061534469385 52.473822309174,13.3057532949594 52.2307818451873)";0.063822638;31.27309258;39.95421815;89.52747496;0.182709133;490;;l42;"SRID=4326;LINESTRING(13.5061534469385 52.473822309174,13.3057532949594 52.2307818451873)";;;;;;;;;;l42;39.95421815;89.52747496
l43;"SRID=4326;LINESTRING(13.5061534469385 52.473822309174,13.5241987309997 52.5356342713481)";0.040058533;19.62868129;33.44960609;100.2818739;0.204656885;490;;l43;"SRID=4326;LINESTRING(13.5061534469385 52.473822309174,13.5241987309997 52.5356342713481)";;;;;;;;;;l43;33.44960609;100.2818739
l44;"SRID=4326;LINESTRING(13.5241987309997 52.5356342713481,13.7096697058228 52.5397952580643)";0.359495116;611.1416967;183.1452088;405.7238557;0.238661092;1700;;l44;"SRID=4326;LINESTRING(13.5241987309997 52.5356342713481,13.7096697058228 52.5397952580643)";;;;;;;;;;l44;183.1452088;405.7238557
l45;"SRID=4326;LINESTRING(13.5241987309997 52.5356342713481,13.7096697058228 52.5397952580643)";0.359094011;610.4598192;182.9408657;405.2711718;0.238394807;1700;;l45;"SRID=4326;LINESTRING(13.5241987309997 52.5356342713481,13.7096697058228 52.5397952580643)";;;;;;;;;;l45;182.9408657;405.2711718
l46;"SRID=4326;LINESTRING(13.4564306927748 52.5214517451981,13.5370442127043 52.5374565238016)";0.005105567;8.679463452;18.34199133;28.64575138;0.016850442;1700;;l46;"SRID=4326;LINESTRING(13.4564306927748 52.5214517451981,13.5370442127043 52.5374565238016)";;;;;;;;;;l46;18.34199133;28.64575138
l47;"SRID=4326;LINESTRING(10.99933301239 52.2001419745622,10.9772332275028 52.1694333176707)";0.050882621;86.50045635;181.3976646;1357.905764;0.798768096;1700;;l47;"SRID=4326;LINESTRING(10.99933301239 52.2001419745622,10.9772332275028 52.1694333176707)";;;;;;;;;;l47;181.3976646;1357.905764
l48;"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,10.3859411643633 51.0018133014781)";0.123803364;210.4657192;134.7301535;301.9701098;0.177629476;1700;;l48;"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,10.3859411643633 51.0018133014781)";;;;;;;;;;l48;134.7301535;301.9701098
l49;"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,9.25938382024592 51.0603668474477)";0.184021714;312.8369133;160.4535251;806.9663399;0.474686082;1700;;l49;"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,9.25938382024592 51.0603668474477)";;;;;;;;;;l49;160.4535251;806.9663399
l50;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,7.75349546540486 48.0993557006259)";0.274405413;466.4892016;301.4597434;416.6220933;0.24507182;1700;;l50;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,7.75349546540486 48.0993557006259)";;;;;;;;;;l50;301.4597434;416.6220933
l51;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.43846751211921 49.2524597288652)";0.047404845;80.58823716;301.490176;580.9541912;0.34173776;1700;;l51;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.43846751211921 49.2524597288652)";;;;;;;;;;l51;301.490176;580.9541912
l52;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.51211132935593 49.293965649573)";0.095830407;46.95689919;193.1423008;238.969761;0.48769339;490;;l52;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.51211132935593 49.293965649573)";;;;;;;;;;l52;193.1423008;238.969761
l53;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.62320967451897 49.3565822492832)";0.045143964;22.12054226;59.08870511;119.5075368;0.243892932;490;;l53;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.62320967451897 49.3565822492832)";;;;;;;;;;l53;59.08870511;119.5075368
