v_id;wkt_srid_4326;Average price 24;Average price 100;;;;;
n249;"SRID=4326;POINT(7.71823231962748 51.6743422007117)";52.89203397;347.1355607;;;;;
n250;"SRID=4326;POINT(7.71554341949648 51.6736430744508)";52.89203397;347.1355607;;;;;
n251;"SRID=4326;POINT(7.71459453349968 51.6730996381138)";52.89203397;347.1355607;;;;;
n252;"SRID=4326;POINT(7.71270093431027 51.672663662233)";52.23197829;47.60546443;;;;;
n253;"SRID=4326;POINT(7.98122159643085 51.6735262619046)";34.45595755;411.385906;;;;;
n254;"SRID=4326;POINT(7.79256714933307 49.8105487811028)";185.1029873;2297.226961;;;;;
n255;"SRID=4326;POINT(6.92013045452502 49.9705818904706)";#DIV/0!;536.590497;;;;;
n256;"SRID=4326;POINT(6.75552340556687 49.3648695914696)";6.366561334;2884.296644;;;;;
n257;"SRID=4326;POINT(8.41467459584413 49.7091468139245)";368.712933;562.7168638;;;;;
n258;"SRID=4326;POINT(9.88280429847019 51.5155074976724)";47.6159986;1159.036045;;;;;
n259;"SRID=4326;POINT(9.85139357253472 51.6491352399809)";56.8123102;1077.824482;;;;;
n260;"SRID=4326;POINT(8.78579302528601 48.5837674015328)";-334.8185921;-311.9316361;;;;;
n261;"SRID=4326;POINT(9.0454349679866 48.9029620137561)";16.98895071;545.1498366;;;;;
n262;"SRID=4326;POINT(9.8013171668981 47.6525043240978)";47.06079483;218.2033578;;;;;
n264;"SRID=4326;POINT(9.42551238607291 48.0643507981263)";1450.905852;2556.604513;;;;;
n265;"SRID=4326;POINT(8.10495957410199 52.2642613740358)";-73.53098687;939.1741563;;;;;
n266;"SRID=4326;POINT(12.1301906295374 47.9131654820025)";2.597852332;0.058571306;;;;;
